timestamp,tweet_text,username,all_hashtags,followers_count
2021-03-11 13:48:41,"b""Ukraine's KB Yuzhnoe design bureau held a meeting of leading designers to review the readiness of the Sich-2-1 remote-sensing satellite for launch in 2021 (on #SpaceX' #Falcon9 rocket): https://t.co/wdz3ufJEj5""",b'RussianSpaceWeb',"['SpaceX', 'Falcon9']",12858
2021-03-11 13:43:24,"b""Encore of this morning's early launch by #SpaceX with their Fantastic #Falcon9 delivering 60 internet broadband service satellites #Starlink   Quite happy with the way these came out. More in the @gospacelaunch article here -&gt; https://t.co/P569xWG0x5 https://t.co/IsHZPMAOVp""",b'therealjonvh',"['SpaceX', 'Falcon9', 'Starlink']",1741
2021-03-11 13:41:36,"b""Amazing colors of the flames of Starlink 20 launched this morning at 3:13am I've been working on this shot every dark launch Sony A7Riv 600mm ISO2500 1/250th sec  @SonyAlpha @SpaceX @SPACEdotcom @tariqjmalik @DaveMosher #spacex #starlink #florida https://t.co/MjMhC5C98O""",b'GregDieselPhoto',"['spacex', 'starlink', 'florida']",249
2021-03-11 13:35:04,b'My predictions once @elonmusk gets to Mars is having crypto as the main currency. #Future #Mars #SpaceX',b'JesseSuarez1',"['Future', 'Mars', 'SpaceX']",1010
2021-03-11 13:30:12,b'#SpaceX on the move! https://t.co/P488HWks77',b'AshmoreTrace',['SpaceX'],116
2021-03-11 13:28:08,b'SpaceX Falcon9 Launch &amp; Landing | Starlink-20 60 Satellites Mission https://t.co/GGbCbJSCSt via @YouTube  #SpaceX #Starlink #Falcon9 #Launch #Landing #Florida #ElonMusk #Starlink20 #internet https://t.co/KbWO3Ixd8N',b'googlevesaire',"['SpaceX', 'Starlink', 'Falcon9', 'Launch', 'Landing', 'Florida', 'ElonMusk', 'Starlink20', 'internet']",226
2021-03-11 13:27:02,b'This mornings successful #SpaceX #Starlink launch. #Falcon9 B1058 also made its 6th landing on drone ship JRTI!  Kind of what I was aiming for but definitely need practice with trails and launches \xf0\x9f\xa4\xa3 Also got a little trigger happy LOL   \xf0\x9f\x93\xb7: Me for @gospacelaunch https://t.co/5EpPdNuWeh',b'Star_Shattered',"['SpaceX', 'Starlink', 'Falcon9']",2576
2021-03-11 13:27:00,b'Elon Musk reveals why the SN10 Starship exploded https://t.co/PuQYUiysav #tech #feedly #spacex #science #space @PawlowskiMario @MargaretSiegien @jblefevre60 @Ym78200 @CurieuxExplorer',b'Nicochan33',"['tech', 'feedly', 'spacex', 'science', 'space']",86869
2021-03-11 13:24:49,b'Researchers create hybrid technology that combines III-V tunnel FETs and MOSFETs!  #tech #science #news #tbt #crypto #bitcoin #elon #biden #spacex https://t.co/MQZWjvwfkf',b'fyberus',"['tech', 'science', 'news', 'tbt', 'crypto', 'bitcoin', 'elon', 'biden', 'spacex']",142
2021-03-11 13:18:56,b'Wow! Beautiful shot. @10TV #10TV #WakeUpCbus #beautiful #weather #flwx #Starlinks #SpaceX @SpaceX https://t.co/PyhhzpD9yQ',b'jeffbooth10tv',"['10TV', 'WakeUpCbus', 'beautiful', 'weather', 'flwx', 'Starlinks', 'SpaceX']",3155
2021-03-11 13:17:38,"b'Celebrating a year of great work by the SpaceX team! Elon Musk @elonmusk  #SpaceX Boca Chica #RGV Starbase, Texas https://t.co/WVDijrXfhf'",b'rgv_com',"['SpaceX', 'RGV']",2047
2021-03-11 13:12:36,b'Elon Musk replied to Erc X  #SpaceX https://t.co/olFxCWnjRC',b'EveryElonReply',['SpaceX'],1631
2021-03-11 13:09:38,"b'This is another non-traditional and possibly risky bet, but #SpaceX has always been willing to take risks during development programs in order to move more quickly. https://t.co/xNV7EJwQCk'",b'arstechnica',['SpaceX'],1159558
2021-03-11 13:09:28,b'NASASpaceflight After Starship Lands! #SpaceX https://t.co/n8guvaL2NG https://t.co/zitSeoPyO2',b'SpaceXMR',['SpaceX'],3222
2021-03-11 13:08:34,"b'SpaceX aces Starlink launch, kicks off service in Germany, New Zealand https://t.co/dKjg9L4E63 #space #spacex #Starlink #starlinksatellite #starlinklaunch #service #germany #newzealand #FCC #spacerocket #satellite #science #news #tripontech #TOT @TriponTech https://t.co/FrgXFLOnM5'",b'TriponTech',"['space', 'spacex', 'Starlink', 'starlinksatellite', 'starlinklaunch', 'service', 'germany', 'newzealand', 'FCC', 'spacerocket', 'satellite', 'science', 'news', 'tripontech', 'TOT']",270
2021-03-11 13:07:35,b'@LiveaMemory @SpaceX @RoadtripC @suziday123 @MadHattersNYC @matthewjdowd @MelissaOnline @RebekahRadice @BethFratesMD @JetsettersFlyin @elonmusk @KariJoys .@LoveThatYacht and I were invited there a few years ago. We spent a few incredible days seeing everything and meeting many. We were there for a night launch which was rescheduled for the next day. Love #NASA #SpaceX \xf0\x9f\x9a\x80',b'LoriMoreno',"['NASA', 'SpaceX']",176179
2021-03-11 13:07:07,b'@SpaceX Couldn\xe2\x80\x99t be good for the environment #SpaceX \xf0\x9f\x98\x8f',b'paintsandsings',['SpaceX'],1861
2021-03-11 13:01:41,b'CHECK IT OUT! Fred Karst in Effingham caught the #SpaceX #Falcon9 rocket as lit up the predawn sky early this morning (3:15am) It\xe2\x80\x99s carrying a new batch of 60 Starlink internet satellites into orbit! https://t.co/bdpcloWNEo',b'wtocjamie',"['SpaceX', 'Falcon9']",5020
2021-03-11 12:57:33,"b'#Starlink Mission  #SpaceX is targeting Thursday, March 11 for launch of 60 Starlink #satellites from #Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in #Florida. The instantaneous window is at 3:13 a.m. EST or 8:13\xe2\x80\x8b UTC.  https://t.co/QFKUS2AL61'",b'stuxOS',"['Starlink', 'SpaceX', 'satellites', 'Space', 'Florida']",460
2021-03-11 12:56:57,b'A beautiful launch on March 11th 2021 for @SpaceX #Starlink20 from LC-40 at 3:13 AM EST from Cape Canaveral Florida this morning from the ITL causeway delivering 60 more Starlink broadband satellites into orbit. Congratulations #spacex team. \xf0\x9f\x9a\x80\xf0\x9f\x87\xba\xf0\x9f\x87\xb2 @Falcon9Block5 @bluemoondance74 https://t.co/vOOs1J8A4v',b'SchilkeScott',"['Starlink20', 'spacex']",1002
2021-03-11 12:53:08,b'SpaceX sends up 60 more Starlink internet satellites in pre-dawn launch #SpaceX via https://t.co/s7n0wYZc3s https://t.co/ThtHnvSD6n',b'SalomonOli',['SpaceX'],3243
2021-03-11 12:46:01,"b""#SpaceX sends up 60 more #Starlink internet satellites Elon! How are you going to sweep them when they'll be just rubbish? Do You have a plan? #space #environment  https://t.co/6SMLasvIVZ""",b'tony2oak',"['SpaceX', 'Starlink', 'space', 'environment']",53
2021-03-11 12:43:18,"b""I once heard that Men are from Mars. Apparently we're trying to go back. #SpaceX""",b'BrooksConkle',['SpaceX'],148
2021-03-11 12:42:48,b'#DearMoonCrew Count me in :)  #DearMoon #SpaceX https://t.co/4XfgS9F1nh',b'MalcMerlyn',"['DearMoonCrew', 'DearMoon', 'SpaceX']",38
2021-03-11 12:39:43,b'I AM A MATURE ADULT \xf0\x9f\x98\xa4 #URANUS #Memes #memesdaily #Space #NASA #SpaceX https://t.co/HDQi529Aux',b'SpaceoutC',"['URANUS', 'Memes', 'memesdaily', 'Space', 'NASA', 'SpaceX']",11
2021-03-11 12:38:29,"b'\xe2\x80\xbc\xef\xb8\x8fSuccessful mission for #SpaceX , a new batch of 60 #Starlink satellites are now in #orbit! https://t.co/Jt7F60yAL1'",b'SpaceVoyaging',"['SpaceX', 'Starlink', 'orbit']",9
2021-03-11 12:37:56,"b'I always watch the deployment. It is beautiful. There is something satisfying like the deployment of drones in the Battle of Naboo, although CGI is much better here. #spacex #starwars #musk https://t.co/bfEcjMTFTO'",b'hyljeklubi',"['spacex', 'starwars', 'musk']",20
2021-03-11 12:37:08,"b'Starlink 20: One or more photos have been added to album(s): SpaceCoastSteve, Ben Cooper. https://t.co/yGJ4sxlBOC #spacex #spacextimemachine #Starlink20'",b'SpXTimeMachine',"['spacex', 'spacextimemachine', 'Starlink20']",979
2021-03-11 12:34:29,b'Starlink 20: Landing status updated from Upcoming to Success https://t.co/4ipEYQEv7O #spacex #spacextimemachine #Starlink20',b'SpXTimeMachine',"['spacex', 'spacextimemachine', 'Starlink20']",979
2021-03-11 12:34:28,b'Starlink 20: Status updated from Upcoming to Success https://t.co/4ipEYQEv7O #spacex #spacextimemachine #Starlink20',b'SpXTimeMachine',"['spacex', 'spacextimemachine', 'Starlink20']",979
2021-03-11 12:29:48,b'Starlink Constellation Grows for SpaceX  Article by: @therealjonvh Featured Photo: @Star_Shattered  #SpaceX #Falcon9 #Starlink https://t.co/muhjor6KMI',b'gospacelaunch',"['SpaceX', 'Falcon9', 'Starlink']",926
2021-03-11 12:28:14,"b'Incase you missed this mornings launch of the 20th #SpaceX #Starlink Mission, here\xe2\x80\x99s a 2 minute recap! #Falcon9 \xe2\x9e\x9e https://t.co/QaGjyW4tcb'",b'Falcon9Block5',"['SpaceX', 'Starlink', 'Falcon9']",2730
2021-03-11 12:24:01,"b'Shot of the shot \xf0\x9f\x94\xa5 ... colleagues on the range early March 11 ahead of #SpaceX #Starlink 20. It was a beautiful morning, clear skies filled with stars and a rocket!/tc. @SpaceflightIns https://t.co/3JPK9DGOMY'",b'theresacross_',"['SpaceX', 'Starlink']",607
2021-03-11 12:19:08,b'United States Space Force awards four task orders in support of FY21 Phase 2 launch missions #SMC #SpaceForce #NRO #SpaceX #ULA #MilitarySpace #Launch #Space https://t.co/RUXpImDx4l https://t.co/352B0wHAzS',b'SpaceNewsfeed',"['SMC', 'SpaceForce', 'NRO', 'SpaceX', 'ULA', 'MilitarySpace', 'Launch', 'Space']",1506
2021-03-11 12:17:51,b'@elonmusk next space mission... could you find out if the universe is flat or round? #SpaceX #Space #UNIVERSE #theories',b'Wumbo158',"['SpaceX', 'Space', 'UNIVERSE', 'theories']",4
2021-03-11 12:17:14,"b'What if we re-oriented the hype and money going into NFTs, space travel &amp; Bitcoin towards solutions to the climate emergency &amp; the fact that plants and animals are going extinct faster than ever before in human history. Let\xe2\x80\x99s get our priorities straight. #NFTs #Bitcoin #SpaceX'",b'Aubergineblog',"['NFTs', 'Bitcoin', 'SpaceX']",1993
2021-03-11 12:09:46,b'looks like then need to scan for viruses #SpaceX https://t.co/UrohuRQ87h https://t.co/WFgO3VWVEI',b'SpaceXMR',['SpaceX'],3222
2021-03-11 12:09:08,"b'SpaceX launches 60 new Starlink satellites to orbit, nails rocket landing at sea #SpaceX via https://t.co/s7n0wYZc3s https://t.co/CTNOxcnV0X'",b'SalomonOli',['SpaceX'],3243
2021-03-11 12:00:29,"b""Which federation has been recognized by the Ministry of Sports after 10 years? #GFI  The Starship prototype rocket SN10 has been successfully launched and tested by which organization? #SpaceX  The Vijayanagara ruler, Kirshnadev Raya's work Amuktamalyada, was in #Telugu""",b'Testbook_CA',"['GFI', 'SpaceX', 'Telugu']",15185
2021-03-11 11:58:00,"b'As Falcon 9 reaches thinner and thinner atmosphere the flame changes color from orange to blue, before fading away.  #Starlink20 #SpaceX #Falcon9 https://t.co/Rua0YAKAzD'",b'derekiswise',"['Starlink20', 'SpaceX', 'Falcon9']",820
2021-03-11 11:56:33,"b""President Johnson in 1967 said: 'whoever controlled space controlled global affairs.'  #SpaceX #BlueOrigin #PerseveranceRover #CuriosityRover  #Mars""",b'MolMoHsen',"['SpaceX', 'BlueOrigin', 'PerseveranceRover', 'CuriosityRover', 'Mars']",440
2021-03-11 11:56:33,"b'We are running on fumes right now but sure was worth it, another spectacular launch by #SpaceX this morning to deploy more #Starlinks to orbit.   STORY - https://t.co/4tVhtwlj8s https://t.co/34qaA6M6wE'",b'AmericaSpace',"['SpaceX', 'Starlinks']",13558
2021-03-11 11:52:53,b'#Falcon9 streaks to orbit !!  313 AM ET. Arcing away over Camera Army and ghost Ken - out of view and back down in while carrying 60 #SpaceX #Starlnk internet sat to LEO on 21st mission. From #pad40 #CCSFS 45th Space Wing https://t.co/smxRzgCbps',b'ken_kremer',"['Falcon9', 'SpaceX', 'Starlnk', 'pad40', 'CCSFS']",3586
2021-03-11 11:44:21,"b'@SpaceX @elonmusk Doge Token $DOGET lift-off shown in image below!   #dogearmy has joined Doge Token army. Together, with #SpaceX, $TSLA and #ElonMusk support, we will be unstoppable.   Thank you #Dogecoin and #Bitcoin supporters. https://t.co/aswvbFg9Za'",b'DOGE_TOKEN',"['dogearmy', 'SpaceX', 'ElonMusk', 'Dogecoin', 'Bitcoin']",732
2021-03-11 11:30:20,b'Have a Great Day......... \xf0\x9f\x98\x8e #DonaldTrump #auroraaksnes #princeharry #mortenharket #familylove #angel #guardianangel #aha  #stockmarket #golden #VaticanNews #Gladiator #pretorian #ancientrome #caesar #king #defenderlove #nicolassarkozy #ioadk #adkoh #spacex #nasa #home #heaven \xf0\x9f\x92\x98',b'SimonBrennan361',"['DonaldTrump', 'auroraaksnes', 'princeharry', 'mortenharket', 'familylove', 'angel', 'guardianangel', 'aha', 'stockmarket', 'golden', 'VaticanNews', 'Gladiator', 'pretorian', 'ancientrome', 'caesar', 'king', 'defenderlove', 'nicolassarkozy', 'ioadk', 'adkoh', 'spacex', 'nasa', 'home', 'heaven']",8
2021-03-11 11:27:45,"b""The lack of intelligence on this earth is staggering no wonder the few rule the many. How as a species we have gone forward in technology but backwards with intelligence, I don't blame scientists who look in the sky for intelligence they don't find it on earth. #SpaceX #SpaceTime""",b'recarnation0',"['SpaceX', 'SpaceTime']",26
2021-03-11 11:25:54,b'$SPACEX.IPO Awarded individual firm-fixed-price task orders totaling $160M under the National Security Space Launch Phase 2 contract #SpaceX  (More at https://t.co/OAJizFBlP1)',b'Trade_The_News',['SpaceX'],17120
2021-03-11 11:09:11,b'Happy launch day :) #SpaceX https://t.co/0qROGpL3Ta https://t.co/1Smb2FwaCc',b'SpaceXMR',['SpaceX'],3222
2021-03-11 11:07:55,"b""Elon Musk's #SpaceX wins 2 Pentagon contracts for nearly $160 million to launch missions with its #Falcon9 rockets https://t.co/YcV69aPxMn""",b'TakeBacktheSky',"['SpaceX', 'Falcon9']",1097
2021-03-11 11:02:31,b'Beautiful shots and congratulations to #SpaceX for another successful #Starlink mission!  #Starlink20 #starlinkinternetservice #Falcon9 #Rocket #Space #satellite https://t.co/vfGLYQhbhY',b'whitelynx',"['SpaceX', 'Starlink', 'Starlink20', 'starlinkinternetservice', 'Falcon9', 'Rocket', 'Space', 'satellite']",271
